"ordinal","question_id","route_style","eligible","s0_protected_rows","post_selection_em_delta_rows","sealed_s1_rows","compression_prompt_token_proxy","compression_status","validated_fact_count","answer_prompt_token_proxy","baseline_fallback","baseline_fallback_reason","prediction_kind","changed_from_baseline","baseline_semantic_correct","candidate_semantic_correct","semantic_rescued","semantic_regressed","verdict_source","baseline_exact_match","candidate_exact_match","baseline_f1","candidate_f1","baseline_prediction_sha256","prediction_sha256","compression_completion_sha256","compression_receipt_sha256","answer_prompt_receipt_sha256","answer_response_journal_sha256","judge_verdict_sha256"
"0","8a137a7f","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","b2da7bb5d2a80555e15f83c0e87b3c84fb6d25e706a53be50369cebccb5168b8","b2da7bb5d2a80555e15f83c0e87b3c84fb6d25e706a53be50369cebccb5168b8",,,,,
"1","37d43f65","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","c3f6db7a9929de96cf252718edc0edf7f7ddd3cf6c6f1755f0383535d53fb00a","c3f6db7a9929de96cf252718edc0edf7f7ddd3cf6c6f1755f0383535d53fb00a",,,,,
"2","e56a43b9","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","4879e9c95387ed71c784881c6e1039027bef7552cfb5bae503e59995d2686bf2","4879e9c95387ed71c784881c6e1039027bef7552cfb5bae503e59995d2686bf2",,,,,
"3","gpt4_2f91af09","numeric_reduce","True","18","14","32","2372","valid","3","3299","False",,"routed_terra_candidate","True","False","False","False","False","new_sol_judge","False","False","0","0","810d7c3ca6aa6411102588f8636833035138a35f32f5e7b2df96d2ab2dc4d660","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62","0a3132c133396c65283880ff06309c9ed4a5089611693b5d36aae39282e987ae","983ba92407aadddce66cf00dcfc43c2e5401bac7024d847c5dc89e6d288b23a4","1a60ce8f357b41af88816ebb46cda012037d2227536410f20857768943d4ee95","f54b0827ab98c652ddcf066faac71e676036c780bdc367ad98dcd8345536eae5","8ef65a23aea7a07a4d602171b9eafd587842525df1e78853628fd875c6d2fdce"
"4","45dc21b6","numeric_reduce","True","18","13","31","2429","valid","1","3231","False",,"routed_terra_candidate","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce","4e07408562bedb8b60ce05c1decfe3ad16b72230967de01f640b7e4729b49fce","181b597ec61b4b6552a5709c6e36f99a198f58ce68f52495f8b0f53fa29115f7","1319fb8e6bb6fd3e39344565e432de3b22770b64f425112dbe99c138f5f39b78","02a26ea26de417858e2d13930b6c3b87b4554bd8df47a5da6aaa0ab4b88e4b4d","d54f08838a0a1b5a4575f3249e1bb1fa381c5bfbb5f204ca9fc0067654f63e57",
"5","06878be2","synthesize","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0.046511627906976744","0.046511627906976744","065cbb4b1fec054c48d33445c4cd5bb94317831641d9a737283717145d3ba5b8","065cbb4b1fec054c48d33445c4cd5bb94317831641d9a737283717145d3ba5b8",,,,,
"6","gpt4_fa19884d","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0","0","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62",,,,,
"7","gpt4_e061b84f","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","False","False","False","False","sealed_baseline_judge","False","False","0.08","0.08","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62",,,,,
"8","16c90bf4","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.2222222222222222","0.2222222222222222","daa2840f0a1dacc0e914980cf6a89ef94fc73d42f4bc24421cdac21e64459181","daa2840f0a1dacc0e914980cf6a89ef94fc73d42f4bc24421cdac21e64459181",,,,,
"9","a3045048","temporal_timeline","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0.33333333333333337","0.33333333333333337","7f920bb639c9307589b65e5f639391d65dcb86b0611ac47f58f7c769215326ee","7f920bb639c9307589b65e5f639391d65dcb86b0611ac47f58f7c769215326ee",,,,,
"10","4c36ccef","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","18712535a06e661b7b5eeb20ed6e4c78a9c3498006ac924bc9cef106d1c14558","18712535a06e661b7b5eeb20ed6e4c78a9c3498006ac924bc9cef106d1c14558",,,,,
"11","2698e78f_abs","direct_extract","False",,,,,,,,"False",,"sealed_baseline_preserved","False","True","True","False","False","sealed_baseline_judge","False","False","0","0","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62","807a4f302e7bbba11532101d40190ff6b4b1fea91a52a4eeb9982c06614bca62",,,,,
"12","0ddfec37","numeric_reduce","True","28","16","44","2684","valid","1","3390","False",,"routed_terra_candidate","False","True","True","False","False","sealed_baseline_judge","True","True","1","1","e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb","e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb","c39a8cd075d0994d19d48fc01f2787db5f96c49991b63a514835357fa32c50d4","3a5af985c87b7141d8a7d511bbb94f3370141ba5f9f6821e7141c43e04fd3f9c","7860e392b4e3d778e7e0b85774ebc53d25f77bf5f6453ff5d16c5575253e37ec","f9440e90c5a31050494d23fc525b454672e72c41841aa630ff293f12433074b3",
