family,file,line,cls,why,destination,check,condition,span,deferred
cumulative,_recall_guarded_cumulative_contracts.py,45,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),{}  must be non-empty,not normalized,2,
cumulative,_recall_guarded_cumulative_contracts.py,52,Test,len() arity comparison,move to pytest over the pure transformation,{}  values must be unique,len(set(normalized)) != len(normalized),2,
cumulative,_recall_guarded_cumulative_contracts.py,70,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),provider messages must be mappings,"not isinstance(message, Mapping)",2,
cumulative,_recall_guarded_cumulative_contracts.py,74,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),provider messages require role and content,not role or not content,2,
cumulative,_recall_guarded_cumulative_contracts.py,77,InputValidation,presence test (no comparison),keep in place (ordinary type/format validation),provider messages cannot be empty,not frozen,2,
cumulative,_recall_guarded_cumulative_contracts.py,148,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),protected excerpt text must be non-empty,type(self.text) is not str or not self.text.strip(),2,
cumulative,_recall_guarded_cumulative_contracts.py,192,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),unsupported causal coverage predecessor format,self.format != CAUSAL_COVERAGE_PREDECESSOR_FORMAT,2,
cumulative,_recall_guarded_cumulative_contracts.py,209,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),coverage_runtime_certified must be boolean,type(self.coverage_runtime_certified) is not bool,2,
cumulative,_recall_guarded_cumulative_contracts.py,218,Behavioral,slice comparison (ordered-prefix nesting),KEEP in-path (recall guard: monotonic nesting),protected chunks must be a packed-context prefix,protected != packed[:len(protected)],2,
cumulative,_recall_guarded_cumulative_contracts.py,220,Test,set operation (ownership/subset),move to pytest over the pure transformation,direct protected chunks must belong to the predecessor,not set(direct) <= set(protected),2,
cumulative,_recall_guarded_cumulative_contracts.py,237,Test,ordering/cap comparison,move to pytest over the pure transformation,predecessor prompt exceeds its hard input cap,self.prompt_token_proxy > self.max_prompt_token_proxy,2,
cumulative,_recall_guarded_cumulative_contracts.py,239,Test,equality of two derived values,move to pytest over the pure transformation,predecessor must retain zero request-token state,self.retained_request_token_state_bytes != 0,2,
cumulative,_recall_guarded_cumulative_contracts.py,249,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),{}  must contain non-negative integer rows,"any((type(key) is not str or not key or type(value) is not int or (value < 0) for key, value in rows))",8,
cumulative,_recall_guarded_cumulative_contracts.py,251,Test,len() arity comparison,move to pytest over the pure transformation,{}  must be sorted with unique keys,"tuple(sorted(rows)) != rows or len({key for key, _ in rows}) != len(rows)",2,
cumulative,_recall_guarded_cumulative_contracts.py,269,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),predecessor excerpts must be exact ProtectedExcerpt values,any((type(item) is not ProtectedExcerpt for item in excerpts)),2,
cumulative,_recall_guarded_cumulative_contracts.py,271,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),predecessor anchors must be RetrievalResult values,"any((not isinstance(item, RetrievalResult) for item in anchors))",2,
cumulative,_recall_guarded_cumulative_contracts.py,275,Test,equality of two derived values,move to pytest over the pure transformation,predecessor excerpt and anchor coordinates disagree,excerpt_ids != anchor_ids or excerpt_ids != self.receipt.protected_chunk_ids,2,
cumulative,_recall_guarded_cumulative_contracts.py,279,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),predecessor excerpt projection changed,identity_sha256([item.identity_payload() for item in excerpts]) != self.receipt.protected_excerpt_projection_sha256,4,
cumulative,_recall_guarded_cumulative_contracts.py,283,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),predecessor anchor sequence changed,longmemeval_anchor_sequence_sha256(anchors) != self.receipt.selected_anchor_sequence_sha256,4,
cumulative,_recall_guarded_cumulative_contracts.py,286,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),predecessor rendered context changed,quote_sha256(protected_context) != self.receipt.protected_context_sha256,2,
cumulative,_recall_guarded_cumulative_contracts.py,288,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),predecessor prompt messages changed,identity_sha256(list(self.messages)) != self.receipt.prompt_messages_sha256,2,
cumulative,_recall_guarded_cumulative_contracts.py,290,Delete/identity,recomputes a value and compares to a stored field,delete (interior identity cross-check),predecessor prompt token count changed,count_chat_prompt_token_proxy(self.messages) != self.receipt.prompt_token_proxy,2,
cumulative,_recall_guarded_cumulative_contracts.py,327,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),unsupported cumulative retrieval stage format,self.format != CUMULATIVE_STAGE_FORMAT,2,
cumulative,_recall_guarded_cumulative_contracts.py,343,Behavioral,presence of a parent link (structural),KEEP in-path (recall guard: monotonic nesting),a root cumulative stage cannot name parent evidence,self.parent_stage_receipt_sha256 is None and parent,2,
cumulative,_recall_guarded_cumulative_contracts.py,348,Behavioral,slice comparison (ordered-prefix nesting),KEEP in-path (recall guard: monotonic nesting),cumulative stage changed or reordered its predecessor prefix,self.parent_stage_receipt_sha256 is not None and selected[:len(parent)] != parent,7,
cumulative,_recall_guarded_cumulative_contracts.py,353,Test,equality of two derived values,move to pytest over the pure transformation,cumulative stage added-evidence projection is inconsistent,added != expected_added,2,
cumulative,_recall_guarded_cumulative_contracts.py,356,Behavioral,message: nesting/monotonicity,KEEP in-path (recall guard: monotonic nesting),a root stage must admit its complete evidence set,self.admission_status != 'root' or added != selected,2,
cumulative,_recall_guarded_cumulative_contracts.py,359,InputValidation,message: type/format validation,keep in place (ordinary type/format validation),a stage with additions must be marked added,self.admission_status != 'added',2,
cumulative,_recall_guarded_cumulative_contracts.py,364,Test,membership in a literal set (enum),move to pytest over the pure transformation,a no-op child stage requires an explicit reason,"self.admission_status not in {'no_novel_evidence', 'budget_exhausted'}",5,
cumulative,_recall_guarded_cumulative_contracts.py,378,Test,ordering/cap comparison,move to pytest over the pure transformation,cumulative stage exceeds its hard context cap,self.context_token_proxy > self.max_context_token_proxy,2,
cumulative,_recall_guarded_cumulative_contracts.py,380,Test,ordering/cap comparison,move to pytest over the pure transformation,cumulative stage exceeds its hard prompt cap,self.prompt_token_proxy > self.max_prompt_token_proxy,2,
cumulative,_recall_guarded_cumulative_contracts.py,413,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),unsupported cumulative retrieval ladder format,self.format != CUMULATIVE_LADDER_FORMAT,2,
cumulative,_recall_guarded_cumulative_contracts.py,416,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),cumulative ladder requires exact stage receipts,not stages or any((type(item) is not CumulativeRetrievalStageReceipt for item in stages)),2,
cumulative,_recall_guarded_cumulative_contracts.py,425,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative ladder stages changed matched controls,stage.matched_controls_sha256 != controls,2,
cumulative,_recall_guarded_cumulative_contracts.py,431,Test,equality of two derived values,move to pytest over the pure transformation,cumulative ladder stages changed hard budgets,"(stage.max_context_token_proxy, stage.max_prompt_token_proxy, stage.responder_output_token_reserve) != budgets",6,
cumulative,_recall_guarded_cumulative_contracts.py,434,Behavioral,presence of a parent link (structural),KEEP in-path (recall guard: monotonic nesting),the first cumulative stage must be a root,stage.parent_stage_receipt_sha256 is not None,2,
cumulative,_recall_guarded_cumulative_contracts.py,438,Delete/identity,compares stored digest fields,delete (interior identity cross-check),cumulative stage does not bind its immediate parent,stage.parent_stage_receipt_sha256 != parent.receipt_sha256,2,
cumulative,_recall_guarded_cumulative_contracts.py,440,Test,equality of two derived values,move to pytest over the pure transformation,cumulative stage parent coordinates changed,stage.parent_evidence_ids != parent.selected_evidence_ids,2,
cumulative,_recall_guarded_cumulative_contracts.py,461,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),unsupported novel closure projection format,self.format != NOVEL_CLOSURE_PROJECTION_FORMAT,2,
cumulative,_recall_guarded_cumulative_contracts.py,490,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),novel closure projection requires a ClosurePlan,"not isinstance(self.plan, ClosurePlan)",2,
cumulative,_recall_guarded_cumulative_contracts.py,492,Delete/identity,compares stored digest fields,delete (interior identity cross-check),novel closure projection changed its projected plan,self.plan.plan_sha256 != self.receipt.projected_plan_sha256,2,
cumulative,_recall_guarded_cumulative_contracts.py,533,InputValidation,compares against a frozen module constant,keep in place (ordinary type/format validation),unsupported recall-guarded cumulative format,self.format != RECALL_GUARDED_CUMULATIVE_FORMAT,2,
cumulative,_recall_guarded_cumulative_contracts.py,556,Test,len() arity comparison,move to pytest over the pure transformation,cumulative receipt requires three additive methods,len(plans) != 3 or len(projections) != 3 or len(packets) != 3 or (len(statuses) != 3),7,
cumulative,_recall_guarded_cumulative_contracts.py,561,Test,membership in a literal set (enum),move to pytest over the pure transformation,cumulative receipt has an invalid admission status,"any((value not in {'added', 'no_novel_evidence', 'budget_exhausted'} for value in statuses))",5,
cumulative,_recall_guarded_cumulative_contracts.py,570,InputValidation,type()/isinstance() check,keep in place (ordinary type/format validation),representative_runtime_certified must be boolean,type(self.representative_runtime_certified) is not bool,2,
cumulative,_recall_guarded_cumulative_contracts.py,584,Test,len() arity comparison,move to pytest over the pure transformation,protected chunks and excerpt coordinates disagree,len(protected_evidence) != len(protected),2,
cumulative,_recall_guarded_cumulative_contracts.py,586,Behavioral,message: nesting/monotonicity,KEEP in-path (recall guard: monotonic nesting),final chunks are not the ordered cumulative union,"final != _ordered_unique((*protected, *added))",2,
cumulative,_recall_guarded_cumulative_contracts.py,588,Behavioral,slice comparison (ordered-prefix nesting),KEEP in-path (recall guard: monotonic nesting),final evidence changed the protected prefix,final_evidence[:len(protected_evidence)] != protected_evidence,2,
cumulative,_recall_guarded_cumulative_contracts.py,590,Test,arithmetic comparison,move to pytest over the pure transformation,final evidence and atom coordinates disagree,len(final_evidence) != len(protected_evidence) + len(added_atoms),2,
cumulative,_recall_guarded_cumulative_contracts.py,606,Test,ordering/cap comparison,move to pytest over the pure transformation,cumulative context exceeds its hard context cap,self.context_token_proxy > self.max_context_token_proxy,2,
cumulative,_recall_guarded_cumulative_contracts.py,608,Test,ordering/cap comparison,move to pytest over the pure transformation,cumulative prompt exceeds its hard input cap,self.prompt_token_proxy > self.max_prompt_token_proxy,2,
