ordinal,question_id,benchmark_category,retrieval_topology,source_arity,source_locality,expected_source_count,source_span_sessions,intervening_source_count,expected_source_ids,expected_source_positions,answer_operator,negative_reference,semantic_correct,abstained,incorrect_abstention,s1_failure_boundary,first_any_source_stage,first_all_sources_stage,first_literal_answer_stage,first_all_value_components_stage,S0_evidence_count,S0_added_evidence_count,S0_retrieved_expected_source_count,S0_evidence_source_recall,S0_any_evidence_source,S0_all_evidence_sources,S0_literal_answer_present,S0_answer_value_component_recall,S0_admission_status,S1_evidence_count,S1_added_evidence_count,S1_retrieved_expected_source_count,S1_evidence_source_recall,S1_any_evidence_source,S1_all_evidence_sources,S1_literal_answer_present,S1_answer_value_component_recall,S1_admission_status,S2_evidence_count,S2_added_evidence_count,S2_retrieved_expected_source_count,S2_evidence_source_recall,S2_any_evidence_source,S2_all_evidence_sources,S2_literal_answer_present,S2_answer_value_component_recall,S2_admission_status,S3_evidence_count,S3_added_evidence_count,S3_retrieved_expected_source_count,S3_evidence_source_recall,S3_any_evidence_source,S3_all_evidence_sources,S3_literal_answer_present,S3_answer_value_component_recall,S3_admission_status,question_date,question,reference_answer,prediction
0,8a137a7f,single-session-user,point,point,point,1,1,0,"[""answer_15d63a22""]",[9],direct_lookup,False,True,False,False,semantic_correct,S0,S0,S0,unreached,47,47,1,1.0,True,True,True,,root,65,18,1,1.0,True,True,True,,added,65,0,1,1.0,True,True,True,,budget_exhausted,65,0,1,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 14:18,What type of bulb did I replace in my bedside lamp?,Philips LED bulb,Philips LED bulb
1,37d43f65,single-session-user,point,point,point,1,1,0,"[""answer_55161935""]",[39],direct_lookup,False,True,False,False,semantic_correct,S0,S0,S0,unreached,45,45,1,1.0,True,True,True,,root,62,17,1,1.0,True,True,True,,added,62,0,1,1.0,True,True,True,,budget_exhausted,62,0,1,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 17:03,How much RAM did I upgrade my laptop to?,16GB,16GB
2,e56a43b9,multi-session,dispersed_join,pair,dispersed,2,20,18,"[""answer_430d0a87_1"",""answer_430d0a87_2""]","[12,31]",numeric_aggregate_compare,False,True,False,False,semantic_correct,S0,S0,S0,unreached,49,49,2,1.0,True,True,True,,root,72,23,2,1.0,True,True,True,,added,72,0,2,1.0,True,True,True,,budget_exhausted,72,0,2,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 18:15,How much discount will I get on my next purchase at FreshMart?,$5,$5
3,gpt4_2f91af09,multi-session,dispersed_join,fanout,dispersed,3,45,42,"[""answer_669318cf_2"",""answer_669318cf_1"",""answer_669318cf_3""]","[7,39,51]",numeric_aggregate_compare,False,False,True,True,all_sources_and_literal_answer_in_s1,S0,S0,S0,unreached,18,18,3,1.0,True,True,True,,root,32,14,3,1.0,True,True,True,,added,34,2,3,1.0,True,True,True,,added,34,0,3,1.0,True,True,True,,budget_exhausted,2023/05/30 (Tue) 17:14,"How many total pieces of writing have I completed since I started writing again three weeks ago, including short stories, poems, and pieces for the writing challenge?",23,I don't know.
4,45dc21b6,knowledge-update,dispersed_join,pair,dispersed,2,17,15,"[""answer_07664d43_1"",""answer_07664d43_2""]","[17,33]",state_update,False,True,False,False,semantic_correct,S0,S0,S0,unreached,18,18,2,1.0,True,True,True,,root,31,13,2,1.0,True,True,True,,added,34,3,2,1.0,True,True,True,,added,34,0,2,1.0,True,True,True,,budget_exhausted,2023/06/16 (Fri) 17:33,How many of Emma's recipes have I tried out?,3,3
5,06878be2,single-session-preference,point,point,point,1,1,0,"[""answer_555dfb94""]",[35],preference_synthesis,False,False,False,False,all_sources_without_literal_answer_in_s1,S0,S0,unreached,unreached,43,43,1,1.0,True,True,False,,root,58,15,1,1.0,True,True,False,,added,58,0,1,1.0,True,True,False,,budget_exhausted,58,0,1,1.0,True,True,False,,budget_exhausted,2023/05/30 (Tue) 16:40,Can you suggest some accessories that would complement my current photography setup?,The user would prefer suggestions of Sony-compatible accessories or high-quality photography gear that can enhance their photography experience. They may not prefer suggestions of other brands' equipment or low-quality gear.,"Sony HVL-F60RM or Godox V1 flash, Gitzo GT3543LS tripod, and a portable external hard drive."
6,gpt4_fa19884d,temporal-reasoning,dispersed_join,pair,dispersed,2,18,16,"[""answer_ff201787_1"",""answer_ff201787_2""]","[27,44]",temporal_order_select,False,False,True,True,all_sources_and_literal_answer_in_s1,S0,S0,S0,unreached,44,44,2,1.0,True,True,True,,root,64,20,2,1.0,True,True,True,,added,64,0,2,1.0,True,True,True,,budget_exhausted,64,0,2,1.0,True,True,True,,budget_exhausted,2023/04/05 (Wed) 19:25,What is the artist that I started to listen to last Friday?,a bluegrass band that features a banjo player,I don't know
7,gpt4_e061b84f,temporal-reasoning,dispersed_join,fanout,dispersed,3,15,12,"[""answer_8c64ce25_2"",""answer_8c64ce25_1"",""answer_8c64ce25_3""]","[20,23,34]",temporal_order_select,False,False,True,True,partial_labeled_sources_in_s1,S0,unreached,unreached,unreached,30,30,2,0.6666666666666666,True,False,False,0.3333333333333333,root,49,19,2,0.6666666666666666,True,False,False,0.3333333333333333,added,49,0,2,0.6666666666666666,True,False,False,0.3333333333333333,budget_exhausted,49,0,2,0.6666666666666666,True,False,False,0.3333333333333333,budget_exhausted,2023/07/01 (Sat) 20:43,"What is the order of the three sports events I participated in during the past month, from earliest to latest?","I first completed the Spring Sprint Triathlon, then took part in the Midsummer 5K Run, and finally participated in the company's annual charity soccer tournament.",I don't know
8,16c90bf4,single-session-assistant,point,point,point,1,1,0,"[""answer_ultrachat_294807""]",[41],direct_lookup,False,True,False,False,semantic_correct,S0,S0,unreached,unreached,45,45,1,1.0,True,True,False,,root,66,21,1,1.0,True,True,False,,added,66,0,1,1.0,True,True,False,,budget_exhausted,66,0,1,1.0,True,True,False,,budget_exhausted,2023/05/30 (Tue) 22:48,"I'm looking back at our previous conversation about the Seco de Cordero recipe from Ancash. You mentioned using a light or medium-bodied beer, but I was wondering if you could remind me what type of beer you specifically recommended?",I recommended using a Pilsner or Lager for the recipe.,Pilsner
9,a3045048,temporal-reasoning,dispersed_join,pair,dispersed,2,24,22,"[""answer_016f6bd4_2"",""answer_016f6bd4_1""]","[32,9]",temporal_interval,False,True,False,False,semantic_correct,S0,S0,unreached,unreached,39,39,2,1.0,True,True,False,,root,56,17,2,1.0,True,True,False,,added,56,0,2,1.0,True,True,False,,budget_exhausted,56,0,2,1.0,True,True,False,,budget_exhausted,2022/05/15 (Sun) 13:45,How many days before my best friend's birthday party did I order her gift?,7 days. 8 days (including the last day) is also acceptable.,7 days
